objectid,filename,title,format,youtubeid,vimeoid,lattitude,longitude ,date,subject,location,creator,description,source,identifier,type,rights,rightsstatement
1.01.01,,Division 9 Wood CeilingsÊ,,,,,,,Architecture,,FastTrack,"Division 9 wood ceilings. Standard stains on western hemlock, 9 pannel wood sample. Manufactured byÊFastTrackÊ@FT.9Wood.com",9Wood,Wood,Wood ceiling,,
1.01.02,,Timberwool,,,,,,,Architecture/ Product Design,,secondskinauto.com,"""Second Skin"" auto&home insulation.---Timberwool---. Sizes 24""x96"", Custom. Thickness: 5/8"", 1-3/8"", 2"". Colors: Primed Clear, Primed White, Paintable. Edges: squares, Bevel, Tegular. Eco friendly sound absorbing pannels. Class A fire rates, NRC rated, Design Engravings www.secondskinauto.com",,,,,
1.01.03,,MiniChock Molded Cork Insulation,,,,,,,Architecture,,Muratto,"Organic Blocks - MINICHOCK - Natural. Color 'infused,' molded cork shapes. E84 - equates to ""Class A"" in 'sprinkles assemblies' (as per: NFPA 2015). NRC = 0.30 (absorbs 50% of sound frequencies w/ in human voice range). Available in 8 shapes and 13 colors. (720) 449-3063 /Êwww.SustainableMaterials.com",sustainablematerials.com,insulation,cork,,
,,,,,,,,,,,,,,,,,
1.01.05,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Red 4002- Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish. ",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.06,,KoskiDecor,,,,,,,Product Design,,Koskisen,"Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.07,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Orange 2008.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.08,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSHISEN. KoskiDecor. Yellow 1018.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.09,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Green 6025.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.10,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Green 6029.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.11,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Blue 5010.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.12,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Blue 5024.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.13,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Grey 7012.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.14,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. Grey 7001.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.15,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. White 9001.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.16,,KoskiDecor,,,,,,,Product Design,,Koskisen,"KOSKISEN. KoskiDecor. White 9003.Ideal for furniture and joinery. Environmentally friendly sourced wood, water based paint and finish.",https://koskisen.fi/en/,Wood,plywood pannel,,
1.01.17,,KoskiDecor,,,,,,,Product Design,,Koskisen,KOSKISEN. KoskiDecor Transparent. 120 g/m^2 melamine.,https://koskisen.fi/en/,Wood,plywood pannel,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.03.11,,Rocky Mountain HardwoodsÊ,,,,,,,Architecture,,Brookside Veneers LTD.Ê,"Palette of wood veneer samples sourced sustainably. Sourced from Italy. Braewood is produced by laminating Brookline veneer into a paper impregnated with phenolic resin The resulting product can be fabricated with the ease of a decorative laminate and requires only light sanding before finishing. Note- Prefinished coating is a matte polyurethane coating, resistant to water and heat. Each sheet is post-formable and available with a protective peel sheet. Contains: Brookline F/C White Oak; Brookline F/C Brown Ash; Brookline QTR. Maple; Brookline F/C Walnut; Brookline QTR. Macassar Ebony; Brookline F/C Teak; Brookline QTR. Mahogany; Braewood Prefinished QTR. Ash; Braewood Platinum; Maple Pommele; Braewood Italo Pearl; Braewood Prefinished QTR. Maple; Braewood Pre-finsihed F/C Walnut; Braewood Pre-Finished QTR. Classic Mahogany; Braewood Qtr. Ebony; Braewood QTR. Classic Mahogany; Braewood F/C Mahogany; Braewood F/C Maple; Braewood F/C Cherry; Braewood Butternut; Brookline PaperBack SnowWhite; Brookline PaperBack Brandied Peach B.E.; Brookline PaperBack Walnut Burl; Brookline PaperBack Carpathian Burl; Brookline PaperBack Quilted Maple; Brookline PaperBack Olive Ash Burl; Braewood QTR Ash; Braewood F/C Rosewood; Braewood Prima Birdseye; Braewood Figured Maple; Brookline Paperback F/C Cherry; Braewood Pre-Finished F/C White Oak; Braewood Pre-Finished F/C Maple; Braewood Pre-Finished QTR. Wenge overstained; Braewood Pre-Finished Butternut; Braewood Pre-Finished Platinum; Braewood Pre-Finished Prima Birdseye; Braewood Pre-Finished Italo Pearl; ",Rocky Mountain Hardwoods,wood ,veneer,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.04.01,,landscapeforms Wood Swatch,,,,,,,Architecture,,landscape forms -- 800-521-2546,"Swatch of finished wood samples including Ipe; Jarrah; Redwood, LF-80 Finish Jarrah, LF-80 Finish Oak; LF-80 Finish Maple",landscapeforms -- 800-521-2546,wood ,"stained/ finished, for visible use",,
1.04.02,,Fuse Rustic Collection finished wood samples,,,,,,,Architecture,,Fuse Rustic Collection-- www.fusehardwood.com -- 616-258-8938," Include:Reed, Thistle, Shoreline, Urban Steel, Smokehouse, Bengal, Spoke, Ghost, Vellum, Dawn, Byre, Gauntlet, Dusk, Urban Leather, White Raw, Cherry Wheat, Cinder, Tavern, Cherry Char, Whiskey",Fuse Rustic Collection-- www.fusehardwood.com -- 616-258-8938,wood ,"stained/ finished, for visible use",,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.04.07,,Nydree Engineered Acrylich Inpregnated Wood Flooring,,,,,,,Architecture,,"Nydree Flooring, 1191 Venture Drive Forest, VA 24551, 800-682-5698","Engineered Multi-Ply Cross-Grain Construction, commercially proven acrylic impregnated wear layer, precision tongue and groove sides with micro bevel edges, lifetime limited acylic wear warranty, lifetime limited structural defect warranty","Wall Resources, Inc. 7100 N. Broadway, Suite 8-C, Denver, CO 80221, 303 -433-9857, info@wallresources.com",wood ,finished flooring,,
1.04.08,,"Architectural Systems Inc, Reclaimed Barn Wood - Wire Brush Red",,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - SKU: WPCLB026 - Color: Wirebrush Red - Thickness: 5/8"" - Width: RW 4 1/2"" - 10 1/2"" - Lenth: RL 4'-12' - Species: Mixed Species - Finish: Mixed SpeciesÊ",Architectural Systems Inc. sales@archsystems.com,wood ,exterior pannelig,,
1.04.09,,Chromatic Wood Panels - Light Char,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL003 - Color: Light Char - Thickness: 1"" - Width: 6"" - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling,,
1.04.10,,Chromatic Wood Panels - Heavy Char,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL0025 - Color: Heavy Char - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling,,
1.04.11,,Chromatic Wood Panels - Lune,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL013 - Color: Lune - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling,,
1.04.12,,Chromatic Wood Panels - Etain,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL002 - Color: Etain - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling,,
1.04.13,,Chromatic Wood Panels - Opaline,,,,,,,Architecture,,Architectural Systems Inc. sales@archsystems.com,"Architectural Systems, INC - Spec ID#: WPJWL009 - Color: Opaline - Thickness: 1"" nominal - Width: 6"" nominal - Lenth: 96"" - Species: Yellow Pine - Finish: Colored Stain",Architectural Systems Inc. sales@archsystems.com,wood ,panneling,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.04.22,,Dolce Janus et Cie - JANUSfiber,,,,,,,Architecture,,"Janus et Cie, Corporate Headquarters, 8687 Melrose Ave. West Hollywood, CA, 90069, 310-652-7090, janusetcie.com","JANUS et Cie's hand-woven JANUSfiber is a distinctive synthetic material; unique in quality, performance and appearance. This environmentally friendlyfiber withstands exposure to ultraviolet light, is weather and tear resistant, mainenance free and completelty recyclable. Certified Women's business enterprise ","Janus et Cie, Corporate Headquarters, 8687 Melrose Ave. West Hollywood, CA, 90069, 310-652-7090, janusetcie.com",synthetic wood,visable outdoor/ indoor uses,,
1.04.23,,,,,,,,,,,,no info,,,,,
1.04.24,,,,,,,,,,,,no info,,,,,
1.05.01,,WOODWORKS Channeled Ceilings and Walls - Dark Cherry,,,,,,,Architecture,,Armstrong,WOODWORKS Channeled Ceilings and Walls - Natural Variations Light Cherry - 5mm profile with 3mm Groove - Real wood veneer on fire retardant medium density fiberboard -Êarmstrong.comÊwoodworks,https://armstrong.com/,wood ,Wood ceiling panneling ,,
1.05.02,,WOODWORKS Channeled Ceilings and Walls - Maple,,,,,,,Architecture,,Armstrong,WOODWORKS Channeled Ceilings and Walls - Natural Variations Maple - 13mm profile with 3mm Groove - Real wood veneer on fire retardant medium density fiberboard -Êarmstrong.comÊwoodworks,https://armstrong.com/,wood ,Wood ceiling panneling ,,
1.05.03,,WOODWORKS Channeled Ceilings and Walls -Light Cherry,,,,,,,Architecture,,Armstrong,WOODWORKS Channeled Ceilings and Walls - Natural Variations Light Cherry - 25mm profile with 3mm Groove - Real wood veneer on fire retardant medium density fiberboard -Êarmstrong.comÊwoodworks,https://armstrong.com/,wood ,Wood ceiling panneling ,,
